"","Protein","Min","Max"
"272","Q0I1P5",36,273
"274","A1WY48",31,258
"277","A1WY48",36,269
"278","A1WY48",36,275
"281","A1WY48",74,307
"283","Q17Y93",30,269
"285","Q17Y93",35,269
"287","B5ZA69",30,269
"289","B5ZA69",35,269
"291","A4G8R4",36,273
"292","A4G8R4",120,359
"293","Q0BZ39",31,267
"294","Q0BZ39",31,270
"295","Q0BZ39",36,267
"296","Q0BZ39",36,270
"299","A6T2D5",36,273
"300","A6WDM9",71,304
"303","A6WDM9",76,304
"305","B2GGD9",37,273
"306","B2GGD9",68,294
"307","B2GGD9",68,303
"310","B2GGD9",70,294
"311","B2GGD9",70,303
"316","B2GGD9",75,303
"319","B3WE52",73,306
"322","Q5ZS70",31,256
"325","Q04Q90",75,310
"328","B0SRT7",75,311
"333","A0LCZ3",36,273
"334","A0LCZ3",74,306
"337","A1TYY4",36,273
"339","B0UMS4",36,280
"340","Q2RKZ8",35,271
"341","A4T2J4",37,267
"342","A4T2J4",65,302
"343","A4T2J4",70,302
"346","A4T2J4",75,302
"349","B8ZRN3",37,267
"350","Q31CW3",13,248
"351","B4F2A8",36,273
"353","Q15PF0",36,273
"355","A6VBV3",146,384
"358","B8H9P2",70,296
"360","B8H9P2",138,378
"361","A5VYC6",120,349
"364","A1SSB6",13,249
"365","A1SSB6",16,249
"366","A1SSB6",36,273
"368","A1SSB6",77,305
"370","Q8XVL0",36,274
"371","Q5LRY4",36,269
"372","A1AW67",31,272
"373","A1AW67",36,272
"375","Q2S3C0",79,312
"376","Q12K23",36,273
"379","A3QB95",36,273
"381","B8CSY3",36,273
"383","A0L072",36,273
"385","B1KGH1",36,273
"388","Q32BF0",36,273
"391","Q2NW34",36,273
"393","A5VD74",36,269
"394","Q82C85",217,448
"398","Q99Z94",77,309
"399","B1IBL9",75,311
"400","P0DB53",77,309
"401","A6QB70",73,313
"403","Q3AM97",36,270
"405","Q8DGG4",36,270
"407","Q8DGG4",41,270
"409","B2S3Y1",32,266
"410","P91917",27,268
"411","B4RD64",36,266
"412","B4RD64",36,269
"413","Q6A9H8",39,275
"415","A3PAT7",13,248
"416","Q3IFF6",36,273
"418","Q3K6K9",120,349
"419","Q88Q08",120,349
"422","Q0SH51",65,293
"423","Q0SH51",70,293
"424","Q0SH51",138,369
"426","A3PQJ0",36,269
"427","Q92G19",31,252
"428","Q9ZCB6",31,252
"429","A8GTZ9",31,252
"430","Q165Y6",36,269
"431","Q07YJ0",36,273
"433","B0TUI2",36,273
"435","Q0HLU0",36,273
"437","Q5HFB9",35,272
"438","Q5HFB9",73,301
"439","A2RE30",77,309
"440","Q97QW8",75,311
"441","Q2QZ37",110,339
"443","Q6F9D8",36,273
"445","A8MHK8",35,272
"446","O67849",37,274
"448","Q2NIK0",51,279
"453","Q2GK25",74,308
"454","C1DEA4",146,380
"457","A9IMA6",74,299
"458","B8DVU1",75,302
"459","B8DVU1",75,311
"463","B7GNK1",75,302
"464","Q7WQL8",120,348
"466","Q7VZX6",120,348
"468","C0ZAL7",35,271
"470","B1YSU7",74,306
"473","B1YSU7",120,354
"474","B1YSU7",120,359
"475","A0RR37",54,287
"477","B0RDG3",37,266
"478","B5E958",36,273
"479","B5E958",41,273
"482","B5E958",41,284
"483","Q747Q2",36,273
"484","Q747Q2",74,306
"486","A9H0F1",36,270
"487","B6JKN2",30,269
"489","B6JKN2",35,269
"491","B0UVI2",36,273
"493","Q5R039",36,273
"495","Q5R039",74,305
"499","Q5R039",120,345
"500","B5XSV8",36,273
"502","A2RJQ6",42,285
"503","B2G6R9",97,332
"505","B8IEL9",36,269
"506","B8IEL9",36,280
"507","B8IEL9",74,299
"508","B1M697",36,269
"509","P75215",13,250
"510","A0R149",37,267
"511","A0R149",65,302
"512","A0R149",70,302
"515","A0R149",75,302
"518","A1UJ07",37,267
"519","A1UJ07",65,302
"520","A1UJ07",70,302
"523","A1UJ07",75,302
"526","A1TC21",37,267
"527","A1TC21",65,302
"528","A1TC21",70,302
"531","A1TC21",75,302
"534","B9L605",73,307
"536","B4RQP4",74,306
"538","Q2G983",69,301
"539","Q2G983",74,301
"540","A1B9C8",36,269
"541","B2SYV2",74,306
"544","B2SYV2",120,349
"545","B1X580",36,270
"547","B4SBR3",36,270
"549","B1VAF2",54,282
"555","A4SVA3",120,346
"556","A4SVA3",120,347
"558","A4SVA3",120,356
"560","A8G2M6",13,248
"561","Q7VDW9",36,270
"563","B0KMF6",120,349
"566","Q4FRK6",34,273
"567","Q4FRK6",36,273
"570","A5WFV1",34,273
"571","A5WFV1",36,273
"574","A9WUU2",70,296
"576","B6IQZ9",36,269
"577","B6IQZ9",74,299
"578","Q3IXX9",36,269
"579","A8F063",31,252
"580","Q1GHD0",36,269
"581","A8M0Y9",37,272
"582","Q8EB83",36,273
"584","P0DB52",77,309
"585","Q8DPV8",77,313
"586","Q30QP0",40,281
"588","Q2JJ90",36,270
"590","A5GQQ5",31,253
"591","B8GQQ3",36,274
"593","Q87BL2",13,250
"594","Q5NR23",36,269
"595","B8BBN7",30,270
"596","A6VMU1",36,273
"598","A6VMU1",120,344
"600","A8FFS8",119,353
"601","A4YKF3",120,349
"603","Q97JL4",35,272
"604","B2TK70",35,272
"605","Q834V4",77,310
"606","Q0RPF6",37,271
"607","Q0RPF6",37,274
"608","Q0RPF6",70,294
"609","Q0RPF6",70,299
"612","Q0RPF6",75,299
"613","B0TWK7",36,272
"614","B0TWK7",41,272
"615","Q9CF94",42,285
"616","Q039J3",73,306
"619","A5VJ99",97,332
"621","Q1WT46",33,272
"622","Q1WT46",35,272
"624","Q1WT46",40,272
"626","Q1WT46",40,283
"627","Q5X1P1",31,256
"630","B2HMG1",37,267
"631","Q73XP5",37,267
"632","A3Q2F3",37,267
"633","A3Q2F3",65,302
"634","A3Q2F3",70,302
"637","A3Q2F3",75,302
"640","A1IPH6",74,306
"642","Q04EZ8",36,275
"643","Q6YRC6",72,299
"645","A7HT67",36,269
"646","Q13U15",74,306
"649","Q13U15",120,349
"650","Q13U15",120,358
"652","Q9CNS4",36,273
"654","Q9CNS4",120,343
"655","Q9CNS4",120,361
"656","A8FRU4",36,273
"659","Q0HRZ8",36,273
"661","B9DNE7",35,272
"662","Q5HNQ7",35,272
"663","Q8DUU2",77,309
"664","B5E4J4",75,311
"665","A3CM33",77,309
"666","Q31PN0",36,270
"668","Q67SC6",30,266
"671","Q67SC6",35,266
"673","Q67SC6",35,272
"674","Q9PAS3",13,250
"675","A1JIV6",36,273
"677","A7FXU6",35,272
"678","A6LQR9",35,272
"679","A5I666",35,272
"680","Q892N8",35,272
"681","Q892N8",95,330
"685","B5Y805",31,265
"686","B5Y805",36,265
"688","B5Y805",74,298
"691","B5Y805",77,298
"692","Q8FN81",217,451
"695","Q4JWT6",70,293
"696","Q4JWT6",70,299
"697","Q4JWT6",70,302
"703","Q4JWT6",75,299
"704","Q4JWT6",75,302
"707","Q4JWT6",143,375
"710","A7MJF1",36,273
"713","A7MJF1",74,300
"716","A7MJF1",77,300
"717","B1X0M2",34,270
"718","B1X0M2",36,270
"720","B1X0M2",41,270
"722","B8HU67",36,270
"724","B7KIC1",36,270
"726","B1I5V8",35,266
"727","B1I5V8",35,272
"728","B2SEA8",36,272
"729","B2SEA8",41,272
"730","A5IAS7",31,256
"733","Q6AFY1",37,266
"734","Q65S59",36,273
"736","Q9CBZ4",37,267
"737","Q98QK8",117,344
"738","Q98QK8",119,344
"739","A9M061",74,306
"741","Q6D9C3",36,273
"743","Q3A1D8",120,346
"744","B2IQ29",77,313
"745","B9DSH7",77,309
"746","Q7U4Y5",36,270
"748","Q3AV08",36,270
"750","P72931",120,356
"751","B9L101",35,275
"752","O83724",32,266
"753","B1XT35",120,346
"754","B1XT35",120,352
"757","Q6LV46",13,249
"758","Q6LV46",36,273
"759","A4VI54",146,383
"762","B2UCV3",36,274
"763","Q7UVH6",119,352
"764","C1A1L5",138,371
"765","Q2J3J8",36,269
"766","B0BVJ1",31,252
"767","Q68VS1",31,252
"768","A8F2Y3",31,252
"769","A9MP23",36,273
"772","A8H0U4",36,273
"774","Q48SX8",77,309
"775","P53295",75,306
"777","P53295",80,306
"778","O94362",67,302
"779","P0ABU4",8,241
"784","P0ABU3",8,241
"789","Q9UT06",94,332
"790","Q9UT06",104,332
"791","Q9UT06",104,336
"793","P17103",67,298
"795","Q9Y295",50,192
"797","Q9Y295",70,216
"799","Q8L7L0",238,378
"803","Q8L7L0",243,378
"804","Q8L7L0",289,430
"808","Q8L7L0",339,489
"809","P20964",33,185
"811","P20964",35,185
"813","P20964",68,210
"822","P20964",140,283
"824","P20964",164,301
"825","B8GYI7",31,159
"826","B8GYI7",36,180
"828","B8GYI7",36,186
"829","B8GYI7",67,211
"835","B8GYI7",69,211
"844","B8GYI7",74,211
"852","B8GYI7",120,270
"853","P0ABU2",111,241
"854","P9WMT1",32,180
"855","P9WMT1",37,180
"857","P9WMT1",37,186
"858","P9WMT1",70,210
"870","P9WMT1",75,210
"875","P9WMT1",138,282
"877","P9WMT1",165,293
"878","Q99ME9",379,517
"883","P95722",32,180
"886","P95722",32,186
"887","P95722",37,180
"889","P95722",37,186
"893","P95722",70,210
"905","P95722",75,210
"910","P95722",138,283
"912","Q5F5D9",31,159
"913","Q5F5D9",34,180
"915","Q5F5D9",34,186
"919","Q5F5D9",36,180
"921","Q5F5D9",36,186
"925","Q5F5D9",69,211
"931","Q5F5D9",74,211
"937","Q5F5D9",165,306
"939","Q9KUS8",31,159
"941","Q9KUS8",36,180
"942","Q9KUS8",36,186
"943","Q9KUS8",69,211
"949","Q9KUS8",74,211
"954","Q9KUS8",77,211
"956","P32233",50,192
"958","P32233",70,216
"960","A4D1E9",30,175
"961","A4D1E9",34,175
"962","A4D1E9",36,175
"964","P32234",70,216
"968","Q54WT4",1,139
"971","Q3MHP5",50,192
"973","Q3MHP5",70,216
"975","Q54HP3",70,218
"978","Q9SVA6",71,217
"980","Q6DHF7",30,175
"981","Q6DHF7",36,175
"983","Q29K06",34,184
"984","Q29K06",36,184
"985","Q29K06",39,184
"986","Q29K06",45,184
"988","Q29K06",168,312
"990","P32235",68,213
"994","Q3MHG6",30,175
"995","Q3MHG6",34,175
"996","Q3MHG6",36,175
"998","Q9I7M2",34,184
"999","Q9I7M2",36,184
"1000","Q9I7M2",39,184
"1001","Q9I7M2",45,184
"1003","Q8K013",30,175
"1004","Q8K013",36,175
"1006","Q5U528",30,175
"1007","Q5U528",36,175
"1008","Q5U528",154,284
"1009","B9KIJ7",69,210
"1018","B9KIJ7",71,210
"1030","B9KIJ7",74,210
"1038","A2YPR8",329,473
"1040","A2YPR8",329,479
"1044","A2YPR8",360,504
"1048","A2YPR8",362,504
"1054","A2YPR8",367,504
"1059","A2YPR8",413,563
"1060","F4HSD4",73,208
"1062","F4HSD4",78,208
"1064","A5FV29",31,159
"1065","A5FV29",69,211
"1071","A5FV29",74,211
"1079","A5FV29",120,270
"1080","B7J427",36,180
"1081","B7J427",36,186
"1082","B7J427",69,211
"1086","B7J427",74,211
"1092","B7J427",120,267
"1093","A1W4B0",31,159
"1095","A1W4B0",36,186
"1096","A1W4B0",69,211
"1102","A1W4B0",74,211
"1110","A0LSX1",32,180
"1113","A0LSX1",32,186
"1114","A0LSX1",37,180
"1116","A0LSX1",37,186
"1120","A0LSX1",70,210
"1128","A0LSX1",75,210
"1132","A0KGS9",31,159
"1133","A0KGS9",31,180
"1136","A0KGS9",36,180
"1138","A0KGS9",36,186
"1139","A0KGS9",77,211
"1141","B9JUH9",69,210
"1147","B9JUH9",74,210
"1153","Q0VSE6",8,159
"1154","Q0VSE6",13,159
"1156","Q0VSE6",31,159
"1157","Q0VSE6",36,180
"1159","Q0VSE6",36,186
"1160","Q0VSE6",67,202
"1161","Q0VSE6",67,211
"1164","Q0VSE6",69,202
"1165","Q0VSE6",69,211
"1172","Q0VSE6",74,202
"1173","Q0VSE6",74,211
"1182","Q0VSE6",120,262
"1183","Q0VSE6",138,288
"1184","B4UIU2",31,159
"1186","B4UIU2",36,186
"1187","B4UIU2",69,210
"1193","B4UIU2",74,210
"1199","B7GIR2",33,179
"1201","B7GIR2",33,185
"1202","B7GIR2",35,179
"1204","B7GIR2",35,185
"1205","B7GIR2",68,210
"1214","B7GIR2",73,210
"1222","B7GIR2",164,301
"1223","A8EV83",7,158
"1225","A8EV83",68,210
"1228","A8EV83",73,210
"1231","A0JXJ8",32,180
"1232","A0JXJ8",70,210
"1240","A0JXJ8",75,210
"1244","A0JXJ8",165,296
"1246","A8HS51",36,180
"1248","A8HS51",36,186
"1249","A8HS51",69,210
"1258","A8HS51",74,210
"1266","A1KAD0",31,159
"1267","A1KAD0",31,180
"1271","A1KAD0",36,180
"1274","A1KAD0",36,186
"1275","A1KAD0",69,211
"1281","A1KAD0",74,211
"1287","B2IE44",36,180
"1289","B2IE44",36,186
"1290","B2IE44",69,210
"1296","B2IE44",74,210
"1302","B2IE44",198,335
"1305","B3DPS4",17,168
"1307","B3DPS4",68,219
"1310","B3DPS4",70,219
"1313","B3DPS4",75,219
"1319","B3DPS4",129,278
"1320","B3DPS4",147,278
"1321","Q2L062",8,159
"1322","Q2L062",36,186
"1323","Q2L062",69,211
"1329","Q2L062",74,211
"1335","Q2L062",138,278
"1337","O51722",14,160
"1338","O51722",37,187
"1339","O51722",65,211
"1341","O51722",70,211
"1347","O51722",75,211
"1352","O51722",78,211
"1353","Q7W1P2",8,159
"1354","Q7W1P2",36,186
"1355","Q7W1P2",69,211
"1361","Q7W1P2",74,211
"1367","Q7W1P2",138,278
"1368","B9MRB8",33,185
"1369","B9MRB8",35,185
"1370","B9MRB8",73,210
"1373","A8Z6G0",68,210
"1379","A8Z6G0",73,210
"1384","A7I166",7,158
"1385","A7I166",68,210
"1391","A7I166",70,210
"1399","A7I166",73,210
"1404","A8FJQ1",10,158
"1405","A8FJQ1",68,210
"1411","A8FJQ1",70,210
"1419","A8FJQ1",73,210
"1424","B9KER3",10,158
"1426","B9KER3",68,210
"1429","B9KER3",73,210
"1432","P0CB41",31,159
"1433","P0CB41",36,180
"1435","P0CB41",36,186
"1436","P0CB41",67,211
"1442","P0CB41",69,211
"1451","P0CB41",74,211
"1459","P0CB41",120,270
"1460","B3PIU9",8,159
"1461","B3PIU9",18,159
"1467","B3PIU9",31,159
"1468","B3PIU9",36,186
"1470","B3PIU9",69,211
"1476","A9WK62",40,185
"1478","A9WK62",40,191
"1479","A9WK62",72,215
"1481","Q824F3",17,158
"1487","Q824F3",30,158
"1488","B3EHE6",31,180
"1489","B3EHE6",36,180
"1492","B3EHE6",36,186
"1493","B3EHE6",41,180
"1495","B3EHE6",41,186
"1496","B3EHE6",67,211
"1500","B3EHE6",69,211
"1506","B3EHE6",74,211
"1512","B3EHE6",139,270
"1513","B0B7Y8",17,158
"1522","B0B7Y8",30,158
"1523","Q8KAF0",31,180
"1524","Q8KAF0",36,180
"1527","Q8KAF0",36,186
"1531","Q8KAF0",67,211
"1535","Q8KAF0",69,211
"1541","Q8KAF0",74,211
"1547","Q8KAF0",77,211
"1549","Q1R0C0",8,159
"1550","Q1R0C0",31,159
"1551","Q1R0C0",31,180
"1553","Q1R0C0",36,180
"1556","Q1R0C0",36,186
"1557","Q1R0C0",69,211
"1560","Q1R0C0",74,211
"1565","A5CR32",14,159
"1567","A5CR32",70,203
"1568","A5CR32",70,210
"1582","A5CR32",75,203
"1583","A5CR32",75,210
"1590","A5CR32",120,266
"1591","A5CR32",138,278
"1594","Q7NZS1",31,180
"1597","Q7NZS1",34,180
"1601","Q7NZS1",34,186
"1606","Q7NZS1",36,180
"1609","Q7NZS1",36,186
"1614","Q7NZS1",69,211
"1620","Q7NZS1",74,211
"1626","B2V0A8",76,210
"1628","B1ILY5",68,210
"1634","B1ILY5",69,210
"1642","B1ILY5",73,210
"1648","B1ILY5",76,210
"1650","A0Q1T4",30,158
"1651","A0Q1T4",73,210
"1659","B1VGL9",32,180
"1660","B1VGL9",37,180
"1662","B1VGL9",37,186
"1663","B1VGL9",70,210
"1675","B1VGL9",75,210
"1680","B1VGL9",138,274
"1682","B1VGL9",165,293
"1683","B1VGL9",165,302
"1686","Q1LIQ0",31,159
"1688","Q1LIQ0",36,186
"1689","Q1LIQ0",69,211
"1695","Q1LIQ0",74,211
"1701","Q1LIQ0",138,274
"1704","B7JVH9",36,180
"1705","B7JVH9",77,211
"1707","B7JVH9",120,270
"1708","Q47AD0",13,159
"1710","Q47AD0",31,159
"1713","Q47AD0",36,186
"1715","Q47AD0",61,211
"1717","Q47AD0",69,211
"1723","Q47AD0",74,211
"1729","Q47AD0",74,221
"1730","Q47AD0",165,310
"1731","Q1IW72",36,186
"1732","Q1IW72",69,203
"1733","Q1IW72",69,212
"1741","Q1IW72",74,203
"1742","Q1IW72",74,212
"1750","Q9RY66",36,186
"1751","Q9RY66",224,360
"1752","C0QLE9",34,186
"1753","C0QLE9",36,186
"1754","C0QLE9",69,211
"1757","C0QLE9",74,211
"1760","C0QLE9",120,251
"1761","B8J4L3",8,161
"1762","B8J4L3",31,182
"1764","B8J4L3",69,215
"1766","B8J4L3",74,215
"1770","A8ZRY1",36,180
"1774","A8ZRY1",118,252
"1775","A8ZRY1",120,252
"1776","B8DRN9",31,161
"1777","B8DRN9",36,182
"1780","B8DRN9",36,188
"1781","B8DRN9",69,206
"1783","B8DRN9",69,215
"1786","B8DRN9",74,206
"1787","B8DRN9",74,215
"1794","B8DRN9",120,255
"1795","B8DRN9",120,258
"1796","B8DRN9",122,255
"1797","B8DRN9",122,258
"1798","B5YEQ1",33,185
"1799","B5YEQ1",35,185
"1800","B5YEQ1",66,209
"1804","B5YEQ1",68,209
"1810","B5YEQ1",71,209
"1817","B5YEQ1",73,209
"1822","B5YEQ1",114,245
"1826","A8LK09",69,210
"1835","A8LK09",74,210
"1843","A8LK09",120,269
"1844","B2KAW2",31,178
"1845","B2KAW2",34,178
"1847","B2KAW2",34,184
"1851","B2KAW2",36,178
"1853","B2KAW2",36,184
"1857","B2KAW2",41,178
"1859","B2KAW2",41,184
"1860","B2VGT5",31,159
"1862","B2VGT5",36,180
"1863","B2VGT5",36,186
"1864","B2VGT5",74,211
"1869","Q8RHS8",30,158
"1870","Q8RHS8",68,210
"1876","Q8RHS8",73,210
"1882","B9M3W3",34,180
"1884","B9M3W3",36,180
"1886","B9M3W3",67,211
"1888","B9M3W3",69,211
"1891","B9M3W3",74,211
"1894","B9M3W3",77,211
"1895","Q5KWP5",30,179
"1896","Q5KWP5",33,179
"1899","Q5KWP5",35,179
"1902","Q5KWP5",68,210
"1905","Q5KWP5",73,210
"1908","Q39QR4",31,159
"1909","Q39QR4",34,180
"1911","Q39QR4",34,186
"1915","Q39QR4",36,180
"1917","Q39QR4",36,186
"1921","Q39QR4",67,211
"1925","Q39QR4",69,211
"1931","Q39QR4",74,211
"1937","Q39QR4",165,306
"1938","A5GD29",31,159
"1939","A5GD29",34,180
"1941","A5GD29",34,186
"1942","A5GD29",36,180
"1944","A5GD29",36,186
"1945","A5GD29",67,211
"1949","A5GD29",69,211
"1955","A5GD29",74,211
"1961","Q0BRE9",31,159
"1962","Q0BRE9",36,180
"1964","Q0BRE9",36,186
"1965","Q0BRE9",69,211
"1971","Q0BRE9",74,211
"1979","A0M5C6",39,183
"1981","A0M5C6",44,183
"1985","Q4QM31",31,159
"1987","Q4QM31",36,180
"1988","Q4QM31",36,186
"1989","Q4QM31",77,211
"1991","Q4QM31",120,255
"1992","Q7VP37",31,159
"1994","Q7VP37",36,180
"1995","Q7VP37",36,186
"1996","Q7VP37",67,211
"2002","P44915",31,159
"2004","P44915",36,180
"2005","P44915",36,186
"2006","P44915",77,211
"2008","P44915",120,255
"2009","B8F871",31,159
"2011","B8F871",36,180
"2012","B8F871",36,186
"2013","B8F871",67,204
"2014","B8F871",67,211
"2025","B8CXZ0",68,210
"2031","B8CXZ0",73,210
"2037","B0TBW1",35,179
"2039","B0TBW1",68,210
"2045","B0TBW1",73,210
"2051","Q28Q12",35,186
"2052","Q28Q12",36,186
"2053","Q28Q12",69,210
"2062","Q28Q12",74,210
"2070","Q28Q12",120,269
"2071","Q03QP2",68,210
"2077","Q03QP2",164,306
"2079","B2GBD0",70,212
"2085","B2GBD0",166,303
"2087","Q74JN7",68,210
"2093","A9KMF5",30,158
"2094","A9KMF5",66,204
"2096","A9KMF5",66,210
"2106","A9KMF5",68,204
"2108","A9KMF5",68,210
"2124","A9KMF5",73,204
"2126","A9KMF5",73,210
"2139","Q88VG4",68,210
"2145","Q88VG4",164,310
"2147","Q1MQQ1",8,161
"2148","Q1MQQ1",36,182
"2150","Q1MQQ1",36,188
"2151","Q1MQQ1",41,182
"2153","Q1MQQ1",41,188
"2154","Q1MQQ1",69,215
"2156","Q1MQQ1",74,215
"2160","Q1MQQ1",120,255
"2161","Q1MQQ1",122,255
"2162","B0S9A3",14,160
"2163","B0S9A3",19,160
"2165","B0S9A3",70,213
"2168","B0S9A3",75,213
"2171","B0S9A3",166,311
"2175","Q054P6",70,213
"2178","Q054P6",75,213
"2181","Q054P6",166,310
"2184","Q92BH7",30,179
"2186","Q92BH7",33,179
"2189","Q92BH7",35,179
"2192","Q92BH7",68,210
"2194","Q92BH7",164,301
"2195","Q6F0U3",36,186
"2196","Q6F0U3",69,211
"2202","Q6F0U3",77,211
"2203","B3DVG9",30,177
"2205","B3DVG9",33,177
"2207","B3DVG9",35,177
"2208","B3DVG9",66,204
"2209","B3DVG9",68,204
"2210","B3DVG9",76,229
"2212","B3DVG9",133,265
"2214","B1ZL15",36,180
"2216","B1ZL15",36,186
"2220","B1ZL15",69,210
"2229","B1ZL15",74,210
"2237","A2SD36",31,159
"2238","A2SD36",36,186
"2239","A2SD36",69,211
"2245","A2SD36",74,211
"2253","B8EQH4",36,180
"2255","B8EQH4",36,186
"2256","B8EQH4",69,210
"2262","B8EQH4",74,210
"2268","A0QDH0",32,180
"2269","A0QDH0",37,180
"2271","A0QDH0",37,186
"2272","A0QDH0",70,210
"2284","A0QDH0",75,210
"2289","A0QDH0",120,267
"2290","A0QDH0",165,293
"2291","B1MMY5",32,180
"2292","B1MMY5",37,180
"2294","B1MMY5",37,186
"2298","B1MMY5",70,210
"2313","B1MMY5",75,210
"2318","B1MMY5",138,282
"2320","B1MMY5",165,293
"2321","B1MMY5",165,298
"2324","B1MMY5",165,302
"2331","B1MMY5",198,343
"2334","Q2SRV9",8,159
"2335","Q2SRV9",36,186
"2336","Q2SRV9",69,211
"2342","P47624",67,210
"2350","P47624",74,210
"2360","P47624",115,250
"2361","A5IYU8",70,208
"2371","A5IYU8",118,269
"2372","A5IYU8",120,269
"2373","A5IYU8",163,294
"2375","Q4AAV4",13,156
"2378","Q4AAV4",69,207
"2392","Q1B629",32,180
"2393","Q1B629",37,180
"2395","Q1B629",37,186
"2396","Q1B629",70,210
"2408","Q1B629",75,210
"2413","Q1B629",120,267
"2414","Q1B629",138,282
"2415","Q1B629",165,293
"2416","Q1B629",165,302
"2419","Q1DC95",31,159
"2420","Q1DC95",36,186
"2421","Q1DC95",69,211
"2427","Q1DC95",74,211
"2433","B2A6B7",68,210
"2436","B2A6B7",73,210
"2439","B2A6B7",137,272
"2440","A1KWG2",31,159
"2441","A1KWG2",34,180
"2443","A1KWG2",34,186
"2447","A1KWG2",36,180
"2449","A1KWG2",36,186
"2453","A1KWG2",69,211
"2459","A1KWG2",74,211
