,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183
B7J427,11.0,35.0,50.0,57.0,11.0,35.0,50.0,57.0,11.0,35.0,50.0,57.0,11.0,35.0,50.0,57.0,11.0,35.0,11.0,35.0,2.0,17.0,24.0,2.0,17.0,24.0,2.0,17.0,24.0,2.0,17.0,24.0,12.0,19.0,12.0,19.0,12.0,19.0,12.0,19.0,12.0,19.0,12.0,19.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0KGS9,11.0,35.0,50.0,57.0,11.0,35.0,50.0,57.0,16.0,16.0,16.0,40.0,16.0,40.0,11.0,35.0,11.0,35.0,11.0,35.0,9.0,16.0,24.0,9.0,16.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0VSE6,12.0,16.0,40.0,55.0,56.0,12.0,16.0,40.0,55.0,56.0,12.0,16.0,40.0,55.0,56.0,62.0,7.0,11.0,35.0,50.0,51.0,57.0,35.0,39.0,30.0,34.0,30.0,34.0,12.0,16.0,7.0,11.0,35.0,7.0,11.0,35.0,7.0,11.0,35.0,4.0,19.0,20.0,26.0,34.0,36.0,4.0,19.0,20.0,26.0,34.0,36.0,4.0,19.0,20.0,26.0,34.0,36.0,4.0,19.0,20.0,26.0,34.0,36.0,2.0,17.0,18.0,24.0,32.0,34.0,2.0,17.0,18.0,24.0,32.0,34.0,2.0,17.0,18.0,24.0,32.0,34.0,2.0,17.0,18.0,24.0,32.0,34.0,2.0,17.0,18.0,24.0,32.0,34.0,2.0,17.0,18.0,24.0,32.0,34.0,2.0,17.0,18.0,24.0,32.0,34.0,2.0,17.0,18.0,24.0,32.0,34.0,12.0,13.0,19.0,27.0,29.0,12.0,13.0,19.0,27.0,29.0,12.0,13.0,19.0,27.0,29.0,12.0,13.0,19.0,27.0,29.0,12.0,13.0,19.0,27.0,29.0,12.0,13.0,19.0,27.0,29.0,12.0,13.0,19.0,27.0,29.0,12.0,13.0,19.0,27.0,29.0,12.0,13.0,19.0,27.0,29.0,12.0,13.0,19.0,27.0,29.0,13.0,14.0,28.0,,,,,,,,,,,,,,,,,,,,
A0JXJ8,8.0,17.0,21.0,35.0,8.0,17.0,21.0,35.0,14.0,15.0,16.0,29.0,8.0,17.0,21.0,35.0,8.0,17.0,21.0,35.0,8.0,17.0,21.0,35.0,8.0,17.0,21.0,35.0,8.0,17.0,21.0,35.0,8.0,17.0,21.0,35.0,8.0,17.0,21.0,35.0,8.0,17.0,21.0,35.0,3.0,12.0,16.0,30.0,3.0,12.0,16.0,30.0,3.0,12.0,16.0,30.0,3.0,12.0,16.0,30.0,19.0,20.0,36.0,19.0,20.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3DPS4,12.0,60.0,30.0,30.0,19.0,19.0,19.0,17.0,17.0,17.0,12.0,12.0,12.0,12.0,12.0,12.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2L062,14.0,46.0,39.0,11.0,10.0,17.0,24.0,37.0,39.0,10.0,17.0,24.0,37.0,39.0,10.0,17.0,24.0,37.0,39.0,10.0,17.0,24.0,37.0,39.0,10.0,17.0,24.0,37.0,39.0,10.0,17.0,24.0,37.0,39.0,5.0,12.0,19.0,32.0,34.0,5.0,12.0,19.0,32.0,34.0,5.0,12.0,19.0,32.0,34.0,5.0,12.0,19.0,32.0,34.0,5.0,12.0,19.0,32.0,34.0,5.0,12.0,19.0,32.0,34.0,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7W1P2,6.0,14.0,46.0,6.0,14.0,46.0,39.0,11.0,10.0,17.0,24.0,39.0,10.0,17.0,24.0,39.0,10.0,17.0,24.0,39.0,10.0,17.0,24.0,39.0,10.0,17.0,24.0,39.0,10.0,17.0,24.0,39.0,5.0,12.0,19.0,34.0,5.0,12.0,19.0,34.0,5.0,12.0,19.0,34.0,5.0,12.0,19.0,34.0,5.0,12.0,19.0,34.0,5.0,12.0,19.0,34.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9MRB8,11.0,50.0,57.0,13.0,11.0,12.0,19.0,12.0,19.0,12.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A7I166,6.0,45.0,52.0,6.0,45.0,52.0,31.0,38.0,31.0,38.0,31.0,38.0,31.0,38.0,39.0,17.0,24.0,17.0,24.0,17.0,24.0,17.0,24.0,17.0,24.0,17.0,24.0,15.0,22.0,15.0,22.0,15.0,22.0,15.0,22.0,15.0,22.0,15.0,22.0,15.0,22.0,15.0,22.0,12.0,19.0,12.0,19.0,12.0,19.0,12.0,19.0,12.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0CB41,11.0,25.0,50.0,59.0,16.0,30.0,11.0,25.0,11.0,25.0,11.0,25.0,19.0,28.0,19.0,28.0,19.0,28.0,19.0,28.0,19.0,28.0,19.0,28.0,17.0,26.0,17.0,26.0,17.0,26.0,17.0,26.0,17.0,26.0,17.0,26.0,17.0,26.0,17.0,26.0,17.0,26.0,12.0,21.0,12.0,21.0,12.0,21.0,12.0,21.0,12.0,21.0,12.0,21.0,12.0,21.0,12.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q824F3,7.0,31.0,50.0,57.0,25.0,25.0,25.0,25.0,25.0,25.0,12.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3EHE6,5.0,10.0,11.0,27.0,35.0,50.0,57.0,5.0,10.0,11.0,27.0,35.0,50.0,57.0,0.0,5.0,6.0,22.0,30.0,45.0,52.0,0.0,5.0,6.0,22.0,30.0,45.0,52.0,0.0,5.0,6.0,22.0,30.0,45.0,52.0,60.0,0.0,5.0,6.0,22.0,30.0,45.0,52.0,60.0,10.0,15.0,16.0,32.0,40.0,5.0,10.0,11.0,27.0,35.0,5.0,10.0,11.0,27.0,35.0,5.0,10.0,11.0,27.0,35.0,5.0,10.0,11.0,27.0,35.0,0.0,5.0,6.0,22.0,30.0,0.0,5.0,6.0,22.0,30.0,0.0,5.0,6.0,22.0,30.0,4.0,19.0,26.0,34.0,4.0,19.0,26.0,34.0,4.0,19.0,26.0,34.0,4.0,19.0,26.0,34.0,2.0,17.0,24.0,32.0,2.0,17.0,24.0,32.0,2.0,17.0,24.0,32.0,2.0,17.0,24.0,32.0,2.0,17.0,24.0,32.0,2.0,17.0,24.0,32.0,12.0,19.0,27.0,12.0,19.0,27.0,12.0,19.0,27.0,12.0,19.0,27.0,12.0,19.0,27.0,12.0,19.0,27.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1R0C0,11.0,50.0,51.0,57.0,39.0,16.0,16.0,16.0,11.0,11.0,11.0,11.0,17.0,18.0,24.0,32.0,17.0,18.0,24.0,32.0,17.0,18.0,24.0,32.0,12.0,13.0,19.0,27.0,12.0,13.0,19.0,27.0,12.0,13.0,19.0,27.0,12.0,13.0,19.0,27.0,12.0,13.0,19.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5CR32,10.0,11.0,37.0,50.0,10.0,11.0,37.0,50.0,33.0,34.0,33.0,34.0,4.0,17.0,32.0,4.0,17.0,32.0,4.0,17.0,32.0,4.0,17.0,32.0,4.0,17.0,32.0,4.0,17.0,32.0,4.0,17.0,32.0,4.0,17.0,32.0,4.0,17.0,32.0,4.0,17.0,32.0,4.0,17.0,32.0,4.0,17.0,32.0,4.0,17.0,32.0,4.0,17.0,32.0,4.0,17.0,32.0,12.0,27.0,12.0,27.0,12.0,27.0,12.0,27.0,12.0,27.0,12.0,27.0,12.0,27.0,12.0,27.0,4.0,5.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2V0A8,7.0,10.0,11.0,50.0,2.0,5.0,6.0,45.0,2.0,5.0,6.0,45.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1ILY5,10.0,11.0,16.0,50.0,57.0,17.0,24.0,17.0,24.0,17.0,24.0,17.0,24.0,17.0,24.0,17.0,24.0,16.0,23.0,16.0,23.0,16.0,23.0,16.0,23.0,16.0,23.0,16.0,23.0,16.0,23.0,16.0,23.0,12.0,19.0,12.0,19.0,12.0,19.0,12.0,19.0,12.0,19.0,12.0,19.0,9.0,16.0,9.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0Q1T4,10.0,11.0,16.0,50.0,57.0,60.0,15.0,16.0,21.0,12.0,19.0,22.0,12.0,19.0,22.0,12.0,19.0,22.0,12.0,19.0,22.0,12.0,19.0,22.0,12.0,19.0,22.0,12.0,19.0,22.0,12.0,19.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1VGL9,11.0,43.0,50.0,10.0,17.0,56.0,10.0,17.0,56.0,10.0,17.0,56.0,5.0,12.0,51.0,5.0,12.0,51.0,5.0,12.0,51.0,2.0,9.0,48.0,7.0,46.0,47.0,7.0,46.0,47.0,7.0,46.0,47.0,7.0,46.0,47.0,2.0,41.0,42.0,56.0,58.0,2.0,41.0,42.0,56.0,58.0,16.0,11.0,11.0,11.0,10.0,17.0,10.0,17.0,10.0,17.0,10.0,17.0,10.0,17.0,10.0,17.0,10.0,17.0,10.0,17.0,10.0,17.0,10.0,17.0,10.0,17.0,10.0,17.0,5.0,12.0,5.0,12.0,5.0,12.0,5.0,12.0,5.0,12.0,7.0,7.0,19.0,20.0,34.0,36.0,19.0,20.0,34.0,36.0,19.0,20.0,34.0,36.0,19.0,20.0,34.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1LIQ0,11.0,43.0,50.0,57.0,16.0,16.0,11.0,10.0,17.0,24.0,32.0,10.0,17.0,24.0,32.0,10.0,17.0,24.0,32.0,10.0,17.0,24.0,32.0,10.0,17.0,24.0,32.0,10.0,17.0,24.0,32.0,5.0,12.0,19.0,27.0,5.0,12.0,19.0,27.0,5.0,12.0,19.0,27.0,5.0,12.0,19.0,27.0,5.0,12.0,19.0,27.0,5.0,12.0,19.0,27.0,28.0,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B7JVH9,11.0,35.0,50.0,57.0,11.0,35.0,50.0,57.0,11.0,35.0,9.0,16.0,29.0,9.0,16.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q47AD0,11.0,18.0,50.0,57.0,12.0,19.0,52.0,12.0,19.0,52.0,60.0,12.0,19.0,52.0,60.0,1.0,34.0,41.0,1.0,34.0,41.0,16.0,23.0,16.0,23.0,16.0,23.0,11.0,18.0,11.0,18.0,25.0,32.0,25.0,32.0,17.0,24.0,17.0,24.0,17.0,24.0,17.0,24.0,17.0,24.0,17.0,24.0,12.0,19.0,12.0,19.0,12.0,19.0,12.0,19.0,12.0,19.0,12.0,19.0,12.0,19.0,1.0,19.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1IW72,1.0,4.0,6.0,17.0,1.0,4.0,6.0,17.0,17.0,18.0,17.0,18.0,17.0,18.0,17.0,18.0,17.0,18.0,17.0,18.0,17.0,18.0,17.0,18.0,17.0,18.0,12.0,13.0,12.0,13.0,12.0,13.0,12.0,13.0,12.0,13.0,12.0,13.0,12.0,13.0,12.0,13.0,12.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0QLE9,5.0,11.0,50.0,53.0,57.0,7.0,13.0,5.0,11.0,17.0,20.0,24.0,32.0,36.0,39.0,17.0,20.0,24.0,32.0,36.0,39.0,17.0,20.0,24.0,32.0,36.0,39.0,12.0,15.0,19.0,27.0,31.0,34.0,12.0,15.0,19.0,27.0,31.0,34.0,12.0,15.0,19.0,27.0,31.0,34.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8ZRY1,11.0,35.0,50.0,57.0,11.0,35.0,11.0,35.0,11.0,35.0,11.0,35.0,6.0,8.0,11.0,23.0,25.0,4.0,6.0,9.0,21.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8DRN9,5.0,12.0,18.0,23.0,33.0,54.0,5.0,12.0,18.0,23.0,33.0,54.0,10.0,17.0,23.0,28.0,38.0,10.0,17.0,23.0,28.0,38.0,10.0,17.0,23.0,28.0,38.0,10.0,17.0,23.0,28.0,38.0,10.0,17.0,23.0,28.0,38.0,5.0,12.0,18.0,23.0,33.0,5.0,12.0,18.0,23.0,33.0,5.0,12.0,18.0,23.0,33.0,5.0,12.0,18.0,23.0,33.0,5.0,12.0,18.0,23.0,33.0,5.0,12.0,18.0,23.0,33.0,5.0,12.0,18.0,23.0,33.0,5.0,12.0,18.0,23.0,33.0,8.0,20.0,8.0,20.0,6.0,18.0,6.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8LK09,11.0,35.0,43.0,50.0,59.0,2.0,10.0,17.0,26.0,32.0,2.0,10.0,17.0,26.0,32.0,2.0,10.0,17.0,26.0,32.0,2.0,10.0,17.0,26.0,32.0,2.0,10.0,17.0,26.0,32.0,2.0,10.0,17.0,26.0,32.0,2.0,10.0,17.0,26.0,32.0,2.0,10.0,17.0,26.0,32.0,2.0,10.0,17.0,26.0,32.0,5.0,12.0,21.0,27.0,5.0,12.0,21.0,27.0,5.0,12.0,21.0,27.0,5.0,12.0,21.0,27.0,5.0,12.0,21.0,27.0,5.0,12.0,21.0,27.0,5.0,12.0,21.0,27.0,5.0,12.0,21.0,27.0,6.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
