,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Q0AWF4,18,22,24.0,18.0,22.0,24.0,18.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6LLQ5,7,15,18.0,22.0,31.0,7.0,15.0,18.0,22.0,31.0,7.0,15.0,18.0,22.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0VL48,7,15,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8MIS4,2,5,22.0,24.0,2.0,5.0,22.0,24.0,2.0,5.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B7GH28,15,22,24.0,15.0,22.0,24.0,15.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1DH55,5,7,14.0,17.0,21.0,5.0,7.0,14.0,17.0,21.0,5.0,7.0,14.0,17.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B7IIY0,22,24,22.0,24.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5LDL2,7,15,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5WEP2,15,22,24.0,15.0,22.0,24.0,15.0,22.0,24.0,15.0,22.0,24.0,15.0,22.0,24.0,15.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8A8T4,7,15,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,
A6L4J3,15,18,22.0,15.0,18.0,22.0,15.0,18.0,22.0,15.0,18.0,22.0,15.0,18.0,22.0,15.0,18.0,22.0,15.0,18.0,22.0,15.0,18.0,22.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8D7W2,7,18,22.0,7.0,18.0,22.0,7.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3APK7,7,15,22.0,7.0,15.0,22.0,7.0,15.0,22.0,7.0,15.0,22.0,7.0,15.0,22.0,7.0,15.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3QQY9,15,18,22.0,15.0,18.0,22.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4SCU1,7,15,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1QSU7,5,7,15.0,18.0,22.0,29.0,5.0,7.0,15.0,18.0,22.0,29.0,35.0,5.0,7.0,15.0,18.0,22.0,29.0,35.0,5.0,7.0,15.0,18.0,22.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6LT31,7,18,22.0,7.0,18.0,22.0,7.0,18.0,22.0,7.0,18.0,22.0,7.0,18.0,22.0,7.0,18.0,22.0,7.0,18.0,22.0,7.0,18.0,22.0,7.0,18.0,22.0,7.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8I8N7,5,18,22.0,5.0,18.0,22.0,5.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0TQK6,7,18,22.0,7.0,18.0,22.0,7.0,18.0,22.0,7.0,18.0,22.0,7.0,18.0,22.0,7.0,18.0,22.0,7.0,18.0,22.0,7.0,18.0,22.0,7.0,18.0,22.0,7.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0QLA5,5,15,22.0,5.0,15.0,22.0,5.0,15.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4J7L5,15,18,22.0,15.0,18.0,22.0,15.0,18.0,22.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4Z1T3,20,27,29.0,20.0,27.0,29.0,15.0,22.0,24.0,15.0,22.0,24.0,20.0,27.0,29.0,15.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0S273,15,22,24.0,15.0,22.0,24.0,15.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0TZB8,5,7,18.0,22.0,5.0,7.0,18.0,22.0,5.0,7.0,18.0,22.0,5.0,7.0,18.0,22.0,5.0,7.0,18.0,22.0,5.0,7.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1AB49,17,18,22.0,17.0,18.0,22.0,17.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9LZU0,15,18,22.0,35.0,15.0,18.0,22.0,35.0,15.0,18.0,22.0,35.0,15.0,18.0,22.0,35.0,15.0,18.0,22.0,35.0,15.0,18.0,22.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3E2D1,15,18,22.0,31.0,15.0,18.0,22.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C6E8C5,15,18,22.0,15.0,18.0,22.0,15.0,18.0,22.0,15.0,18.0,22.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4IRG9,15,22,24.0,15.0,22.0,24.0,15.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5FPX9,7,22,7.0,22.0,7.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4QLH6,1,7,15.0,18.0,22.0,1.0,7.0,15.0,18.0,22.0,1.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2SN75,7,15,18.0,22.0,29.0,7.0,15.0,18.0,22.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17VE9,7,11,19.0,20.0,29.0,30.0,31.0,7.0,11.0,19.0,20.0,29.0,30.0,31.0,7.0,11.0,19.0,20.0,29.0,30.0,31.0,7.0,11.0,19.0,20.0,29.0,30.0,31.0,7.0,11.0,19.0,20.0,29.0,30.0,31.0,7.0,11.0,19.0,20.0,29.0,30.0,31.0,,,,,,,,,,,,,,,,,,
B0TFJ0,15,18,22.0,24.0,15.0,18.0,22.0,24.0,15.0,18.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9ZJ42,7,11,19.0,20.0,29.0,30.0,31.0,7.0,11.0,19.0,20.0,29.0,30.0,31.0,7.0,11.0,19.0,20.0,29.0,30.0,31.0,7.0,11.0,19.0,20.0,29.0,30.0,31.0,7.0,11.0,19.0,20.0,29.0,30.0,31.0,7.0,11.0,19.0,20.0,29.0,30.0,31.0,,,,,,,,,,,,,,,,,,
Q28UR1,1,7,18.0,22.0,29.0,1.0,7.0,18.0,22.0,29.0,1.0,7.0,18.0,22.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6TG68,5,7,15.0,18.0,22.0,5.0,7.0,15.0,18.0,22.0,5.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5CEL1,1,5,14.0,21.0,1.0,5.0,14.0,21.0,1.0,5.0,14.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q03QN8,3,15,22.0,24.0,3.0,15.0,22.0,24.0,3.0,15.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q042T8,5,15,22.0,24.0,5.0,15.0,22.0,24.0,5.0,15.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A9KHA0,20,27,29.0,15.0,22.0,24.0,15.0,22.0,24.0,15.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2G6R5,3,15,22.0,24.0,3.0,15.0,22.0,24.0,3.0,15.0,22.0,24.0,3.0,15.0,22.0,24.0,3.0,15.0,22.0,24.0,3.0,15.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q38WS0,15,22,24.0,15.0,22.0,24.0,15.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q604E1,5,18,22.0,5.0,18.0,22.0,5.0,18.0,22.0,5.0,18.0,22.0,5.0,18.0,22.0,5.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3PN57,14,17,21.0,29.0,14.0,17.0,21.0,29.0,14.0,17.0,21.0,29.0,14.0,17.0,21.0,29.0,14.0,17.0,21.0,29.0,14.0,17.0,21.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P75303,14,17,21.0,14.0,17.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6LBY4,7,15,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,
Q03F28,3,5,15.0,22.0,24.0,3.0,5.0,15.0,22.0,24.0,3.0,5.0,15.0,22.0,24.0,3.0,5.0,15.0,22.0,24.0,3.0,5.0,15.0,22.0,24.0,3.0,5.0,15.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q160A3,7,15,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B7V729,5,7,14.0,17.0,21.0,5.0,7.0,14.0,17.0,21.0,5.0,7.0,14.0,17.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1IGY1,5,7,14.0,17.0,21.0,5.0,7.0,14.0,17.0,21.0,5.0,7.0,14.0,17.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2KD28,15,18,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q98D85,15,18,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q92SF6,15,18,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13F29,7,15,18.0,22.0,32.0,7.0,15.0,18.0,22.0,32.0,7.0,15.0,18.0,22.0,32.0,7.0,15.0,18.0,22.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2RP11,7,11,15.0,18.0,22.0,7.0,11.0,15.0,18.0,22.0,7.0,11.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8GUK6,10,23,27.0,10.0,23.0,27.0,5.0,18.0,22.0,5.0,18.0,22.0,10.0,23.0,27.0,5.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8EXG4,10,27,10.0,27.0,5.0,22.0,5.0,22.0,5.0,22.0,10.0,27.0,5.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4UNC2,10,23,27.0,10.0,23.0,27.0,5.0,18.0,22.0,5.0,18.0,22.0,5.0,18.0,22.0,10.0,23.0,27.0,5.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5LW13,7,9,18.0,22.0,29.0,7.0,9.0,18.0,22.0,29.0,7.0,9.0,18.0,22.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0Q3G7,5,7,15.0,18.0,22.0,5.0,7.0,15.0,18.0,22.0,5.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8GLI8,5,7,15.0,18.0,22.0,5.0,7.0,15.0,18.0,22.0,5.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q07W45,7,15,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3QJD3,7,15,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8GYP3,7,14,17.0,21.0,7.0,14.0,17.0,21.0,7.0,14.0,17.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8FPD5,7,15,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0HPI0,7,15,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2NQR6,5,7,15.0,18.0,22.0,5.0,7.0,15.0,18.0,22.0,5.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1GN74,7,15,18.0,22.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9DNB9,1,15,22.0,24.0,1.0,15.0,22.0,24.0,1.0,15.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8DZ11,5,15,22.0,5.0,15.0,22.0,5.0,15.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5M0S3,5,15,22.0,5.0,15.0,22.0,5.0,15.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1CLR7,5,15,22.0,5.0,15.0,22.0,5.0,15.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q31JM9,7,15,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5E8S6,7,15,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q98QX1,17,21,17.0,21.0,17.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2A1E8,5,15,22.0,24.0,5.0,15.0,22.0,24.0,5.0,15.0,22.0,24.0,5.0,15.0,22.0,24.0,5.0,15.0,22.0,24.0,5.0,15.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B4RQ29,5,7,18.0,22.0,5.0,7.0,18.0,22.0,5.0,7.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0AJF3,5,15,18.0,22.0,5.0,15.0,18.0,22.0,5.0,15.0,18.0,22.0,5.0,15.0,18.0,22.0,5.0,15.0,18.0,22.0,5.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1QH69,7,11,15.0,18.0,22.0,7.0,11.0,15.0,18.0,22.0,7.0,11.0,15.0,18.0,22.0,7.0,11.0,15.0,18.0,22.0,7.0,11.0,15.0,18.0,22.0,7.0,11.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2GAU7,7,15,18.0,22.0,34.0,7.0,15.0,18.0,22.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7N9E9,7,15,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2RL89,7,15,22.0,7.0,15.0,22.0,7.0,15.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B4S596,1,5,7.0,15.0,18.0,22.0,29.0,1.0,5.0,7.0,15.0,18.0,22.0,29.0,1.0,5.0,7.0,15.0,18.0,22.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q88AP4,5,7,14.0,17.0,21.0,5.0,7.0,14.0,17.0,21.0,5.0,7.0,14.0,17.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1QE34,7,18,22.0,7.0,18.0,22.0,7.0,18.0,22.0,7.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3Q039,15,18,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21TK4,1,5,7.0,22.0,36.0,1.0,5.0,7.0,22.0,36.0,1.0,5.0,7.0,22.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q07TY1,7,15,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21B49,7,15,18.0,22.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3QCI1,7,15,18.0,22.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3IYY4,7,18,22.0,7.0,18.0,22.0,7.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1RH06,10,23,27.0,10.0,23.0,27.0,5.0,18.0,22.0,5.0,18.0,22.0,10.0,23.0,27.0,5.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9ZE46,10,23,27.0,10.0,23.0,27.0,5.0,18.0,22.0,5.0,18.0,22.0,10.0,23.0,27.0,5.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16AA3,7,18,22.0,29.0,7.0,18.0,22.0,29.0,7.0,18.0,22.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1GJX8,7,9,18.0,22.0,29.0,7.0,9.0,18.0,22.0,29.0,7.0,9.0,18.0,22.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8CS80,1,15,22.0,24.0,1.0,15.0,22.0,24.0,1.0,15.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8AXB8,5,15,22.0,5.0,15.0,22.0,5.0,15.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8DUH9,5,15,22.0,5.0,15.0,22.0,5.0,15.0,22.0,5.0,15.0,22.0,5.0,15.0,22.0,5.0,15.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0DA92,5,15,22.0,5.0,15.0,22.0,5.0,15.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1ICY8,5,15,22.0,5.0,15.0,22.0,5.0,15.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5BJZ8,7,15,18.0,22.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5CXJ4,5,7,18.0,22.0,5.0,7.0,18.0,22.0,5.0,7.0,18.0,22.0,5.0,7.0,18.0,22.0,5.0,7.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9KVN0,7,15,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8DDQ8,7,15,18.0,22.0,31.0,7.0,15.0,18.0,22.0,31.0,7.0,15.0,18.0,22.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7MQ23,7,15,18.0,22.0,31.0,7.0,15.0,18.0,22.0,31.0,7.0,15.0,18.0,22.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6F7Q4,7,22,7.0,22.0,7.0,22.0,7.0,22.0,7.0,22.0,7.0,22.0,7.0,22.0,7.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4ST47,5,7,15.0,18.0,22.0,5.0,7.0,15.0,18.0,22.0,5.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9J8E2,15,18,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9KIV1,7,22,7.0,22.0,7.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2GKS7,7,15,22.0,7.0,15.0,22.0,7.0,15.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O67679,17,21,17.0,21.0,17.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1K9D3,5,18,22.0,5.0,18.0,22.0,5.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q64UN4,7,15,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q65GJ7,5,15,22.0,24.0,5.0,15.0,22.0,24.0,5.0,15.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7NPV7,5,10,18.0,22.0,5.0,10.0,18.0,22.0,5.0,10.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q48A63,5,7,18.0,22.0,5.0,7.0,18.0,22.0,5.0,7.0,18.0,22.0,5.0,7.0,18.0,22.0,5.0,7.0,18.0,22.0,5.0,7.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q83AV6,7,15,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11RJ8,7,15,22.0,29.0,33.0,7.0,15.0,22.0,29.0,33.0,7.0,15.0,22.0,29.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
