,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
A0PX77,10.0,15.0,20.0,21.0,,,,,,,,,,,,,
Q899S2,15.0,20.0,21.0,,,,,,,,,,,,,,
Q47U36,33.0,35.0,38.0,11.0,15.0,20.0,21.0,1.0,5.0,10.0,11.0,31.0,1.0,5.0,10.0,11.0,31.0
Q1LH94,25.0,15.0,20.0,21.0,28.0,,,,,,,,,,,,
Q46VM0,25.0,15.0,20.0,21.0,28.0,,,,,,,,,,,,
Q477Q5,15.0,20.0,21.0,28.0,15.0,20.0,21.0,28.0,,,,,,,,,
Q6APY7,15.0,20.0,21.0,,,,,,,,,,,,,,
Q72D51,15.0,20.0,21.0,,,,,,,,,,,,,,
B5YXB0,15.0,20.0,21.0,,,,,,,,,,,,,,
Q5FF19,1.0,20.0,21.0,27.0,,,,,,,,,,,,,
Q746Q3,5.0,15.0,20.0,21.0,5.0,15.0,20.0,21.0,,,,,,,,,
Q4QLQ9,15.0,20.0,21.0,,,,,,,,,,,,,,
Q0I0Z2,5.0,15.0,20.0,21.0,,,,,,,,,,,,,
A1WWE4,20.0,21.0,,,,,,,,,,,,,,,
A4GAN2,29.0,29.0,15.0,20.0,21.0,28.0,,,,,,,,,,,
C1D6H7,15.0,20.0,21.0,24.0,,,,,,,,,,,,,
Q65VC3,15.0,20.0,21.0,,,,,,,,,,,,,,
Q6F2A3,15.0,20.0,21.0,26.0,,,,,,,,,,,,,
Q1GXL7,15.0,20.0,21.0,24.0,35.0,39.0,,,,,,,,,,,
P57132,12.0,30.0,27.0,32.0,33.0,15.0,20.0,21.0,,,,,,,,,
P59569,29.0,24.0,9.0,15.0,20.0,21.0,,,,,,,,,,,
O51830,27.0,32.0,33.0,15.0,20.0,21.0,,,,,,,,,,,
B1YQJ5,15.0,20.0,21.0,28.0,,,,,,,,,,,,,
A7ZCZ1,31.0,32.0,,,,,,,,,,,,,,,
A0RNG2,25.0,28.0,31.0,32.0,35.0,,,,,,,,,,,,
A8FM10,31.0,32.0,35.0,20.0,21.0,24.0,33.0,,,,,,,,,,
Q3AG56,15.0,20.0,21.0,,,,,,,,,,,,,,
Q7NPT9,15.0,20.0,21.0,24.0,,,,,,,,,,,,,
A5N451,15.0,20.0,21.0,,,,,,,,,,,,,,
A3DHY8,15.0,20.0,21.0,,,,,,,,,,,,,,
Q9TLX6,15.0,20.0,21.0,29.0,34.0,15.0,20.0,21.0,29.0,34.0,,,,,,,
Q1J154,2.0,33.0,38.0,39.0,,,,,,,,,,,,,
Q30YQ7,15.0,20.0,21.0,30.0,,,,,,,,,,,,,
A7ZTR2,15.0,20.0,21.0,,,,,,,,,,,,,,
Q4A647,18.0,20.0,18.0,20.0,18.0,20.0,18.0,20.0,18.0,20.0,,,,,,,
A6LDT9,1.0,20.0,21.0,28.0,,,,,,,,,,,,,
Q121L2,25.0,,,,,,,,,,,,,,,,
A2C018,15.0,20.0,21.0,37.0,,,,,,,,,,,,,
A2BUG6,8.0,22.0,8.0,22.0,,,,,,,,,,,,,
Q21DG1,15.0,20.0,21.0,,,,,,,,,,,,,,
A9MJT6,15.0,20.0,21.0,,,,,,,,,,,,,,
Q2S6H2,1.0,17.0,20.0,21.0,,,,,,,,,,,,,
Q8Z2N8,15.0,20.0,21.0,,,,,,,,,,,,,,
A8G7P7,15.0,20.0,21.0,,,,,,,,,,,,,,
A3DAS7,15.0,20.0,21.0,,,,,,,,,,,,,,
A3QJT0,15.0,20.0,21.0,,,,,,,,,,,,,,
A4YCM1,15.0,20.0,21.0,,,,,,,,,,,,,,
A1RQE8,15.0,20.0,21.0,,,,,,,,,,,,,,
Q2LSF6,15.0,20.0,21.0,,,,,,,,,,,,,,
Q2JIE6,15.0,20.0,21.0,,,,,,,,,,,,,,
P73839,9.0,15.0,20.0,21.0,,,,,,,,,,,,,
Q72K85,34.0,34.0,,,,,,,,,,,,,,,
Q31DJ0,15.0,20.0,21.0,,,,,,,,,,,,,,
B1GYZ9,15.0,20.0,21.0,22.0,24.0,28.0,39.0,,,,,,,,,,
B0V5S5,15.0,20.0,21.0,37.0,39.0,,,,,,,,,,,,
A1WDB4,25.0,15.0,20.0,21.0,28.0,,,,,,,,,,,,
B0BR82,15.0,20.0,21.0,,,,,,,,,,,,,,
A0KQZ6,15.0,20.0,21.0,,,,,,,,,,,,,,
Q5P4P5,15.0,20.0,21.0,28.0,,,,,,,,,,,,,
A1KCP8,15.0,20.0,21.0,,,,,,,,,,,,,,
A6L6E8,1.0,20.0,21.0,28.0,35.0,,,,,,,,,,,,
Q7VQV3,20.0,21.0,,,,,,,,,,,,,,,
B7NR09,15.0,20.0,21.0,,,,,,,,,,,,,,
B2VCE7,15.0,20.0,21.0,,,,,,,,,,,,,,
A7HK07,1.0,15.0,20.0,21.0,,,,,,,,,,,,,
A5FGE0,1.0,20.0,21.0,24.0,,,,,,,,,,,,,
Q39PQ9,5.0,15.0,20.0,21.0,,,,,,,,,,,,,
A5G9V3,5.0,15.0,20.0,21.0,30.0,,,,,,,,,,,,
Q2S6M6,15.0,20.0,21.0,15.0,20.0,21.0,,,,,,,,,,,
C4K7P4,7.0,11.0,15.0,20.0,21.0,,,,,,,,,,,,
A6T4D6,17.0,28.0,30.0,17.0,28.0,30.0,15.0,20.0,21.0,28.0,,,,,,,
B5XZP4,15.0,20.0,21.0,,,,,,,,,,,,,,
Q1IHC2,15.0,20.0,21.0,26.0,28.0,,,,,,,,,,,,
Q1MPF1,15.0,20.0,21.0,,,,,,,,,,,,,,
B1Y0F6,8.0,12.0,15.0,20.0,21.0,28.0,,,,,,,,,,,
A0LE48,15.0,20.0,21.0,,,,,,,,,,,,,,
A1U7J3,15.0,20.0,21.0,,,,,,,,,,,,,,
A6W3V0,15.0,20.0,21.0,,,,,,,,,,,,,,
Q602M5,,,,,,,,,,,,,,,,,
B0JVV0,15.0,20.0,21.0,,,,,,,,,,,,,,
Q5F529,15.0,20.0,21.0,,,,,,,,,,,,,,
Q82XA1,15.0,20.0,21.0,24.0,,,,,,,,,,,,,
Q2Y5A9,15.0,20.0,21.0,15.0,20.0,21.0,,,,,,,,,,,
B1ZWP5,20.0,21.0,,,,,,,,,,,,,,,
Q6CYQ9,15.0,20.0,21.0,,,,,,,,,,,,,,
A1AV43,15.0,20.0,21.0,28.0,,,,,,,,,,,,,
Q181S7,15.0,20.0,21.0,,,,,,,,,,,,,,
Q7MAX1,15.0,20.0,21.0,,,,,,,,,,,,,,
A2BNY4,34.0,34.0,,,,,,,,,,,,,,,
Q02DE1,15.0,20.0,21.0,,,,,,,,,,,,,,
Q1I2H5,15.0,20.0,21.0,,,,,,,,,,,,,,
Q3IK56,15.0,20.0,21.0,,,,,,,,,,,,,,
A4Y199,15.0,20.0,21.0,15.0,20.0,21.0,,,,,,,,,,,
Q3K429,15.0,20.0,21.0,15.0,20.0,21.0,,,,,,,,,,,
A4VS81,15.0,20.0,21.0,,,,,,,,,,,,,,
B3PS53,7.0,9.0,25.0,30.0,33.0,,,,,,,,,,,,
Q2K2S0,9.0,30.0,33.0,,,,,,,,,,,,,,
Q1MA18,9.0,30.0,33.0,,,,,,,,,,,,,,
Q21CM0,1.0,20.0,21.0,37.0,,,,,,,,,,,,,
A6WUK3,15.0,20.0,21.0,,,,,,,,,,,,,,
A0KR31,15.0,20.0,21.0,,,,,,,,,,,,,,
A8FP41,15.0,20.0,21.0,,,,,,,,,,,,,,
Q0HPE7,15.0,20.0,21.0,,,,,,,,,,,,,,
B1KQ64,15.0,20.0,21.0,,,,,,,,,,,,,,
Q2NQ72,15.0,20.0,21.0,,,,,,,,,,,,,,
A8Z5X0,1.0,20.0,21.0,,,,,,,,,,,,,,
A6QAL0,31.0,32.0,35.0,20.0,21.0,24.0,,,,,,,,,,,
Q67J33,15.0,20.0,21.0,,,,,,,,,,,,,,
P0C8N9,15.0,20.0,21.0,,,,,,,,,,,,,,
B1L9N6,1.0,15.0,20.0,21.0,,,,,,,,,,,,,
Q6F6L1,15.0,20.0,21.0,37.0,39.0,,,,,,,,,,,,
A3N2D8,15.0,20.0,21.0,,,,,,,,,,,,,,
A6VQS6,15.0,20.0,21.0,,,,,,,,,,,,,,
A4STS4,15.0,20.0,21.0,,,,,,,,,,,,,,
A5UD71,15.0,20.0,21.0,,,,,,,,,,,,,,
B0TAB6,15.0,20.0,21.0,,,,,,,,,,,,,,
A2RP37,15.0,20.0,21.0,26.0,15.0,20.0,21.0,26.0,15.0,20.0,21.0,26.0,,,,,
Q033L0,15.0,20.0,21.0,,,,,,,,,,,,,,
Q6MUE7,15.0,20.0,21.0,,,,,,,,,,,,,,
Q9JWB7,15.0,20.0,21.0,,,,,,,,,,,,,,
Q3J6L9,15.0,20.0,21.0,30.0,,,,,,,,,,,,,
A1VUS4,25.0,,,,,,,,,,,,,,,,
A3PAQ7,34.0,34.0,,,,,,,,,,,,,,,
Q46HI4,15.0,20.0,21.0,37.0,,,,,,,,,,,,,
Q15MS9,15.0,20.0,21.0,15.0,20.0,21.0,,,,,,,,,,,
Q9HT07,15.0,20.0,21.0,,,,,,,,,,,,,,
Q4K396,15.0,20.0,21.0,15.0,20.0,21.0,,,,,,,,,,,
A8F732,1.0,5.0,15.0,20.0,21.0,37.0,,,,,,,,,,,
Q87TS2,15.0,20.0,21.0,15.0,20.0,21.0,,,,,,,,,,,
Q7UJI3,9.0,15.0,20.0,21.0,26.0,,,,,,,,,,,,
P0C8P1,15.0,20.0,21.0,,,,,,,,,,,,,,
A1WSU0,25.0,15.0,20.0,21.0,28.0,15.0,20.0,21.0,28.0,,,,,,,,
Q7MQK6,15.0,20.0,21.0,,,,,,,,,,,,,,
Q7M901,20.0,21.0,24.0,,,,,,,,,,,,,,
Q879S5,15.0,20.0,21.0,24.0,,,,,,,,,,,,,
A7FPC2,15.0,20.0,21.0,,,,,,,,,,,,,,
