,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Q6FUQ6,0.0,13.0,19.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6CRY5,13.0,19.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1F645,3.0,29.0,34.0,3.0,29.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9KHV3,14.0,16.0,20.0,21.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2V7L6,1.0,14.0,16.0,19.0,20.0,34.0,1.0,14.0,16.0,19.0,20.0,34.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9PA90,14.0,16.0,20.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q43467,15.0,18.0,20.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5CCL4,16.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5PBH1,15.0,18.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O66429,20.0,24.0,30.0,15.0,19.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P13552,15.0,18.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8F982,1.0,20.0,23.0,30.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A7Z0N5,1.0,20.0,23.0,30.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6MJ00,20.0,23.0,24.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q79GC6,14.0,17.0,24.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P49410,16.0,26.0,34.0,15.0,25.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q057A2,18.0,21.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9MQH1,20.0,23.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O50306,20.0,23.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2FRI3,0.0,15.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P32186,2.0,9.0,10.0,2.0,9.0,10.0,20.0,30.0,36.0,2.0,4.0,12.0,19.0,20.0,2.0,4.0,12.0,19.0,20.0,2.0,4.0,12.0,19.0,20.0,2.0,4.0,12.0,19.0,20.0,2.0,4.0,12.0,19.0,20.0,2.0,4.0,12.0,19.0,20.0,,
Q9V0V7,19.0,25.0,29.0,35.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8U152,19.0,25.0,29.0,35.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P17197,19.0,25.0,29.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O24534,9.0,9.0,2.0,12.0,16.0,19.0,20.0,33.0,2.0,12.0,16.0,19.0,20.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17152,1.0,3.0,24.0,26.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96X45,14.0,29.0,14.0,29.0,14.0,29.0,9.0,24.0,9.0,24.0,6.0,8.0,18.0,22.0,29.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,
Q1LI29,1.0,14.0,16.0,20.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2SU24,1.0,14.0,16.0,20.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0HRE9,28.0,30.0,28.0,30.0,28.0,30.0,28.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0CLP3,13.0,19.0,12.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6H460,13.0,19.0,13.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3PKP1,0.0,4.0,7.0,29.0,0.0,4.0,7.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4JT40,7.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A7MKJ6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6T3K7,1.0,14.0,16.0,20.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1DAR4,1.0,14.0,16.0,20.0,21.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q04Y01,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1QN33,1.0,14.0,16.0,20.0,21.0,34.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C6DG80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B4R8L3,1.0,14.0,16.0,20.0,21.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8KTB0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0RU84,19.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1WCN6,14.0,17.0,24.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5D5I8,20.0,23.0,30.0,15.0,18.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q40450,15.0,18.0,20.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4SHU2,18.0,21.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5WLR4,20.0,23.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q79G84,14.0,17.0,24.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7TT91,14.0,17.0,24.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4XI37,20.0,23.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q877L9,18.0,21.0,28.0,15.0,18.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1WQY4,15.0,18.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B7K834,20.0,23.0,30.0,15.0,18.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0Q9Y7,18.0,21.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1VAK4,18.0,21.0,28.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1YGU8,2.0,19.0,22.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P19457,18.0,21.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0TC54,20.0,23.0,30.0,15.0,18.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2EEV7,16.0,19.0,20.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18EY5,20.0,30.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8GIQ3,20.0,30.0,36.0,3.0,7.0,10.0,17.0,25.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q41011,9.0,9.0,2.0,12.0,16.0,19.0,20.0,33.0,2.0,12.0,16.0,19.0,20.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8LPC4,20.0,30.0,36.0,2.0,12.0,20.0,2.0,12.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q62GK2,1.0,14.0,16.0,20.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12JZ0,28.0,30.0,28.0,30.0,28.0,30.0,28.0,30.0,0.0,6.0,36.0,39.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9KPM5,14.0,18.0,0.0,6.0,9.0,0.0,36.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B7GYM8,1.0,14.0,16.0,20.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8A474,1.0,14.0,16.0,20.0,21.0,22.0,30.0,38.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A9WH62,1.0,14.0,16.0,20.0,21.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8AQM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q74L90,14.0,16.0,20.0,21.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2GD82,1.0,14.0,16.0,20.0,21.0,34.0,41.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8F4Q8,1.0,14.0,20.0,21.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0CCD0,15.0,18.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O50293,20.0,24.0,30.0,15.0,19.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q06J54,19.0,22.0,29.0,31.0,16.0,19.0,26.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99QM0,15.0,18.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P17746,16.0,19.0,26.0,15.0,18.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q97EH5,20.0,23.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5N4N1,3.0,20.0,23.0,30.0,15.0,18.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3DJ00,3.0,20.0,23.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B7JUP5,20.0,23.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8DLL9,18.0,21.0,28.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9TJQ8,18.0,21.0,28.0,16.0,19.0,26.0,15.0,18.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P42478,19.0,22.0,18.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P42476,15.0,18.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q31IY4,23.0,26.0,35.0,18.0,21.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P68158,15.0,18.0,20.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q118Z2,20.0,23.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9P9Q9,19.0,22.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P29521,2.0,4.0,12.0,19.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q27139,20.0,30.0,36.0,2.0,12.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P50256,9.0,20.0,30.0,36.0,2.0,12.0,20.0,33.0,2.0,12.0,20.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12WT3,10.0,20.0,30.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2STF0,9.0,2.0,19.0,2.0,19.0,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5ULM5,7.0,10.0,7.0,10.0,1.0,41.0,2.0,31.0,34.0,26.0,29.0,26.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P17786,2.0,12.0,16.0,19.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5A5P4,19.0,25.0,29.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q60BD3,7.0,9.0,22.0,7.0,9.0,22.0,0.0,36.0,39.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8EW86,1.0,14.0,16.0,20.0,21.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q046C7,14.0,16.0,20.0,21.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1Y7G9,1.0,14.0,16.0,20.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3J8R1,11.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8GV17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5D5K0,20.0,23.0,30.0,15.0,18.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9KV37,18.0,21.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P46280,15.0,18.0,20.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9KUZ6,18.0,21.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q43364,15.0,18.0,20.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A9NEN4,3.0,22.0,32.0,17.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2GJ61,15.0,18.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B7GJ65,20.0,23.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9Z9L6,20.0,23.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A9VP75,14.0,17.0,24.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2L2G6,14.0,17.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2CI56,16.0,19.0,26.0,16.0,19.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P17245,20.0,23.0,30.0,18.0,21.0,28.0,15.0,18.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P14634,15.0,18.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5D3R5,20.0,23.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4G9U0,14.0,17.0,24.0,25.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1MPT8,18.0,21.0,28.0,14.0,17.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0ANN1,14.0,17.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P13927,3.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6YG72,18.0,21.0,28.0,16.0,19.0,26.0,15.0,18.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P51287,15.0,18.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6MW28,16.0,19.0,26.0,12.0,26.0,31.0,46.0,50.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1RHL9,24.0,27.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5F3K0,18.0,21.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8NL22,19.0,22.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2IJ93,0.0,14.0,16.0,20.0,21.0,34.0,0.0,1.0,2.0,3.0,10.0,13.0,23.0,24.0,38.0,40.0,44.0,45.0,,,,,,,,,,,,,,,,,,,,,,,
Q39KH0,1.0,14.0,16.0,20.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q46WE0,1.0,14.0,16.0,20.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q63Q08,1.0,14.0,16.0,20.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6AP74,14.0,16.0,20.0,21.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9X1Y4,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5AL45,18.0,24.0,13.0,19.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5B6J8,13.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3GHT9,13.0,19.0,28.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8MJJ5,13.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0VTG3,1.0,14.0,16.0,20.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B4RSU5,2.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,0.0,6.0,9.0,24.0,27.0,0.0,15.0,18.0,36.0,39.0,9.0,16.0,18.0,2.0,4.0,2.0,4.0,,,,,,,,,,,,,,,,
Q5PBH2,14.0,16.0,20.0,21.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7VTD5,1.0,14.0,16.0,20.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1VET0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8HVR8,16.0,24.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1IX68,3.0,6.0,13.0,35.0,3.0,6.0,13.0,35.0,3.0,6.0,13.0,35.0,2.0,9.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3SLQ2,1.0,14.0,16.0,20.0,21.0,12.0,25.0,27.0,31.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4LBU4,16.0,29.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O63930,19.0,22.0,29.0,31.0,16.0,19.0,26.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P50064,15.0,18.0,25.0,15.0,18.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18906,15.0,18.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9TKZ5,16.0,19.0,26.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0P3M7,16.0,19.0,26.0,28.0,15.0,18.0,25.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1ALS6,22.0,25.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q123F6,14.0,17.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1XI63,18.0,21.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3BWY6,19.0,22.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q877P8,19.0,22.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9ZT91,20.0,23.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1W2Q5,14.0,17.0,24.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P56292,15.0,18.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C6C171,18.0,21.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8J1A0,18.0,21.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q727D5,18.0,21.0,28.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5L3Z9,20.0,23.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9MUP0,19.0,22.0,29.0,31.0,16.0,19.0,26.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0JSE0,15.0,18.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8BFR5,16.0,26.0,34.0,15.0,25.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8EX18,15.0,18.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P23568,3.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20EU5,16.0,19.0,26.0,15.0,18.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O24310,15.0,18.0,20.0,25.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
